ReturnID,OrderDetailID,ReturnDate,ReturnQuantity,ReturnReason,ReturnStatus
1,54,2026-05-14T00:00:00,1,Late Delivery,Completed
2,100,2026-06-18T00:00:00,2,Wrong Size/Color,Requested
3,106,2025-12-14T00:00:00,3,Not as Described,Approved
4,112,2024-12-07T00:00:00,1,Defective Item,Completed
5,121,2025-03-20T00:00:00,2,Buyer Remorse,Requested
6,123,2025-03-19T00:00:00,3,Not as Described,Requested
7,127,2026-07-13T00:00:00,1,,Rejected
8,257,2026-01-22T00:00:00,3,Late Delivery,Approved
9,288,2024-01-03T00:00:00,4,Wrong Size/Color,Completed
10,290,2026-01-13T00:00:00,4,Wrong Size/Color,Completed
11,403,2025-03-14T00:00:00,3,Buyer Remorse,Approved
12,416,2026-05-11T00:00:00,2,Defective Item,Rejected
13,427,2026-03-13T00:00:00,1,Late Delivery,Completed
14,509,2024-08-05T00:00:00,1,,Completed
15,521,2025-09-17T00:00:00,1,Late Delivery,Requested
16,523,2025-09-15T00:00:00,1,,Completed
17,585,2025-09-05T00:00:00,3,Buyer Remorse,Requested
18,597,2025-12-02T00:00:00,3,Not as Described,Rejected
19,626,2025-12-28T00:00:00,4,,Approved
20,665,2024-08-07T00:00:00,3,,Rejected
21,707,2025-09-22T00:00:00,4,Buyer Remorse,Requested
22,722,2026-07-08T00:00:00,2,Late Delivery,Completed
23,729,2026-07-28T00:00:00,1,,Requested
24,731,2026-07-12T00:00:00,1,Wrong Size/Color,Rejected
25,761,2026-07-16T00:00:00,1,,Completed
26,811,2025-07-17T00:00:00,2,Buyer Remorse,Completed
27,835,2025-12-21T00:00:00,1,Late Delivery,Rejected
28,837,2025-12-27T00:00:00,1,Late Delivery,Rejected
29,871,2026-08-20T00:00:00,2,Defective Item,Requested
30,875,2025-10-17T00:00:00,1,Wrong Size/Color,Completed
31,882,2025-10-16T00:00:00,3,Wrong Size/Color,Requested
32,891,2026-01-10T00:00:00,1,Late Delivery,Approved
33,898,2026-09-01T00:00:00,2,,Rejected
34,937,2023-12-13T00:00:00,1,Wrong Size/Color,Completed
35,991,2026-07-01T00:00:00,1,Defective Item,Approved
36,1023,2025-09-07T00:00:00,2,Not as Described,Rejected
37,1089,2026-07-28T00:00:00,3,Wrong Size/Color,Rejected
38,1120,2024-09-26T00:00:00,4,Late Delivery,Requested
39,1173,2025-04-15T00:00:00,1,Buyer Remorse,Rejected
40,1183,2026-07-29T00:00:00,2,Wrong Size/Color,Requested
41,1228,2026-08-01T00:00:00,2,Not as Described,Rejected
42,1236,2026-08-23T00:00:00,1,Not as Described,Requested
43,1286,2025-10-09T00:00:00,2,,Rejected
44,1341,2024-12-23T00:00:00,1,Wrong Size/Color,Approved
45,1363,2024-12-27T00:00:00,1,,Completed
46,1467,2026-08-20T00:00:00,1,Defective Item,Rejected
47,1490,2025-11-29T00:00:00,2,Wrong Size/Color,Approved
48,1495,2023-09-08T00:00:00,2,Wrong Size/Color,Completed
49,1524,2026-06-25T00:00:00,1,Defective Item,Approved
50,1530,2026-01-18T00:00:00,1,Defective Item,Requested
51,1567,2025-01-13T00:00:00,3,Defective Item,Completed
52,1590,2025-07-27T00:00:00,1,Late Delivery,Approved
53,1609,2025-11-12T00:00:00,2,Wrong Size/Color,Approved
54,1628,2025-09-07T00:00:00,2,Wrong Size/Color,Requested
55,1681,2025-10-27T00:00:00,2,Not as Described,Requested
56,1683,2025-11-04T00:00:00,1,,Approved
57,1732,2024-08-14T00:00:00,1,Wrong Size/Color,Rejected
58,1747,2026-06-26T00:00:00,4,Defective Item,Requested
59,1749,2025-08-03T00:00:00,2,Late Delivery,Requested
60,1775,2026-03-24T00:00:00,3,Buyer Remorse,Rejected
61,1833,2025-08-09T00:00:00,1,Late Delivery,Rejected
62,1849,2025-12-27T00:00:00,1,Wrong Size/Color,Rejected
63,1920,2024-09-26T00:00:00,2,Buyer Remorse,Approved
64,1921,2024-09-22T00:00:00,2,Buyer Remorse,Approved
