SupplierID,SupplierName,ContactEmail,Country
1,"Peterson, Carter and Moore",contact_1@maldonado.com,Japan
2,"Gill, Romero and Rodriguez",contact_2@mckay.com,UK
3,Farmer-Ryan,contact_3@evans.com,Germany
4,Koch-Decker,contact_4@sellers.com,USA
5,Miller Group,contact_5@allen-allen.org,Albania
6,Keller PLC,contact_6@spence.com,USA
7,Hickman Ltd,contact_7@baker.biz,albania
8,Lam-Hayes,contact_8@harris.com,Germany
9,"Spencer, Chapman and Smith",contact_9@walker.com,Albania
10,Palmer LLC,contact_10@welch.com,Germany
11,"Kennedy, Mueller and Aguirre",contact_11@washington.org,japan
12,Henderson-Owens,contact_12@davis.biz,Germany
13,Chandler-Mcbride,contact_13@brown.com,Japan
14,Taylor-White,contact_14@wright.net,Albania
15,"Garcia, Pearson and Fernandez",contact_15@wright-leblanc.info,GERMANY
16,Tucker-Lewis,contact_16@novak.com,Albania
17,Baker-Bowers,contact_17@barrera-martin.com,USA
18,"Higgins, Moore and Phillips",contact_18@mitchell-horton.net,UK
19,"Edwards, Williams and Woods",contact_19@riley.com,Albania 
20,Larson Ltd,contact_20@moore.com,USA
