CategoryID,CategoryName,Description,CategoryStatus
1,Laptops & Computers,"Laptops, desktop PCs, and workstations",Active
2,Monitors & Displays,"4K monitors, gaming displays, and stands",Active
3,PC Components,"CPUs, GPUs, motherboards, and power supplies",Active
4,Storage & Networking,"SSDs, external drives, and Wi-Fi routers",Active
5,Audio & Headphones,Noise-canceling headphones and speakers,Active
6,Smart Home Devices,"Smart speakers, cameras, and hubs",Active
7,Wearables & Fitness,Smartwatches and fitness trackers,Active
8,Gaming & Consoles,"Consoles, controllers, and VR headsets",Active
9,Keyboards & Mice,Mechanical keyboards and ergonomic mice,Active
10,Mobile & Tablets,"Tablets, smartphones, and accessories",Active
11,Cameras & Video,"Mirrorless cameras, webcams, and tripods",Active
12,Cables & Adapters,"HDMI cables, USB-C hubs, and adapters",Inactive
13,Printers & Supplies,"Laser printers, ink cartridges, and paper",Active
14,Power & Batteries,"UPS backups, power banks, and chargers",Active
15,Office Tech Accessories,"Laptop bags, monitor arms, and desk mounts",Active
